Cell_name	Zvalue	Color	Cluster	ERAP2	IRF1
MGH36_P3_G03	NA	black	0	0	0.75873
MGH36_P3_G04	0.182502011344	green3	2	0.073135	1.0243
MGH36_P3_G05	-0.0335852224865	green3	2	0.24123	1.4303
MGH36_P3_G06	-0.0457071151276	green3	2	0.32423	1.4854
MGH36_P3_G08	0.0265799095006	green3	2	0.094912	1.2992
MGH36_P3_G09	0.396411510586	green3	2	0.073135	0.6248
MGH36_P3_G10	-0.148958897194	green3	2	0.18142	1.6531
MGH36_P3_G11	NA	black	0	0	0.75788
MGH36_P3_G12	0.322753365505	green3	2	0.059355	0.77905
MGH36_P3_H03	-0.591079256677	red	1	2.3685	1.0489
MGH36_P3_H04	0.051147365814	green3	2	0.10568	1.2534
MGH36_P3_H05	0.179358602149	green3	2	0.14274	0.98841
MGH36_P3_H07	-0.0463561469688	green3	2	0.29983	1.4782
MGH36_P3_H08	-0.0854528986949	green3	2	0.25459	1.5568
MGH36_P3_H11	NA	black	0	0	1.6116
MGH36_P3_H12	NA	black	0	0	4.8431
MGH36_P4_A01	NA	black	0	0	0.93206
MGH36_P4_A02	-0.0694848202014	green3	2	0.35163	1.569
MGH36_P4_A03	0.218891941894	green3	2	0.13619	0.9115
MGH36_P4_A04	0.0133254168088	green3	2	0.33228	1.3132
MGH36_P4_A06	NA	black	0	0	1.1124
MGH36_P4_A07	NA	black	0	0	0.33113
MGH36_P4_A08	NA	black	0	0	0.95606
MGH36_P4_A11	-0.014061168635	green3	2	0.17377	1.378
MGH36_P4_A12	NA	black	0	0	1.3132
MGH36_P4_B02	-0.584051944139	red	1	0.3173	2.7828
MGH36_P4_B04	-0.0262616199935	green3	2	0.098958	1.394
MGH36_P4_B05	NA	black	0	0	1.0834
MGH36_P4_B06	0.18887968021	green3	2	3.8086	1.514
MGH36_P4_B08	-0.046012883198	green3	2	0.10568	1.4303
MGH36_P4_B09	-0.116987376106	green3	2	0.11902	1.5617
MGH36_P4_B12	NA	black	0	0	0.77146
MGH36_P4_C02	NA	black	0	0	1.0014
MGH36_P4_C03	NA	black	0	0	1.7437
MGH36_P4_C04	0.31805170117	green3	2	0.14274	0.69332
MGH36_P4_C05	0.28724005062	green3	2	0.07861	0.82701
MGH36_P4_C06	0.125299313825	green3	2	0.17377	1.0841
MGH36_P4_C07	-0.84204015858	black	0	0.21537	2.9855
MGH36_P4_C08	NA	black	0	0	1.123
MGH36_P4_C10	NA	black	0	0	1.8667
MGH36_P4_C11	-0.0272016927533	green3	2	1.6897	1.3635
MGH36_P4_C12	0.210042836063	green3	2	0.07861	0.97085
MGH36_P4_D01	0.00646186906537	green3	2	0.19661	1.3357
MGH36_P4_D02	0.339118014448	green3	2	0.14143	0.64893
MGH36_P4_D05	0.0623646445482	green3	2	0.45207	1.0517
MGH36_P4_D07	0.607388217511	green3	2	3.781	1.6554
MGH36_P4_D08	0.0212651466564	green3	2	0.098958	1.3086
MGH36_P4_D09	-0.184914474478	green3	2	0.34483	1.8918
MGH36_P4_D10	NA	black	0	0	1.988
MGH36_P4_D11	NA	black	0	0	1.0976
MGH36_P4_D12	-1.32840895924	black	0	0.088142	3.3792
MGH36_P4_E01	NA	black	0	0	0.66175
MGH36_P4_E02	0.0822732024737	green3	2	0.096262	1.1979
MGH36_P4_E04	-0.1440015562	green3	2	0.17377	1.6388
MGH36_P4_E06	-0.0409564980466	green3	2	0.20038	1.4383
MGH36_P4_E07	0.253241338904	green3	2	0.10434	0.86948
MGH36_P4_E08	0.123554208264	green3	2	3.2978	1.4859
MGH36_P4_E09	NA	black	0	0	0.33571
MGH36_P4_E10	-0.355151718983	green3	2	0.22033	2.1023
MGH36_P4_E11	0.0739002302054	green3	2	0.094912	1.2135
MGH36_P4_E12	-0.490274423533	red	1	0.32654	2.6041
MGH36_P4_F01	0.422165705732	green3	2	0.090853	0.54893
MGH36_P4_F02	NA	black	0	0	1.7672
