Cell_name	Zvalue	Color	Cluster	PARP1	SH3BP2
93_P9_D06	0.480621829606	green3	2	1.6613	0.089498
93_P10_A11	-0.615704748437	red	1	5.7588	0.098958
93_P10_B12	-0.274059263464	red	1	4.2747	0.064883
93_P8_B02	NA	black	0	4.7111	0
93_P8_C09	NA	black	0	4.2799	0
93_P8_B07	NA	black	0	6.4175	0
93_P8_C02	NA	black	0	0	0
93_P10_B09	NA	black	0	0	0.19787
93_P9_A12	NA	black	0	0	0.089498
93_P8_E05	NA	black	0	2.5388	0
93_P10_C08	NA	black	0	4.2895	0
93_P9_H02	NA	black	0	0.71017	0
93_P9_H05	1.0380927429	green3	2	0.47405	0.0057593
93_P9_G02	-0.299711627087	red	1	4.8992	0.18396
93_P9_A04	0.128541070878	red	1	1.0779	0.37962
93_P10_C04	-0.513809242464	red	1	5.1486	0.067639
93_P10_H11	NA	black	0	0	0
93_P9_D10	0.174352921497	red	1	2.6208	0.13356
93_P8_E12	NA	black	0	0	0.33228
93_P9_D07	NA	black	0	3.2708	0
93_P10_G05	NA	black	0	5.009	0
93_P10_F06	NA	black	0	5.0614	0
93_P10_C07	0.157082937721	red	1	0.2461	0.39397
93_P9_D08	-0.686958943964	red	1	5.8838	0.07861
93_P10_G06	NA	black	0	0	0
93_P10_G09	0.872491452921	green3	2	0.61447	0.056584
93_P8_F02	NA	black	0	5.9184	0
93_P8_G08	-0.806837172967	red	1	6.6948	0.10836
93_P10_H02	NA	black	0	0.13225	0
93_P10_H03	-0.00112065146204	red	1	3.3324	0.19156
93_P8_E01	NA	black	0	0	0.85519
93_P9_H11	0.288685499469	red	1	1.5539	0.24489
93_P9_H03	NA	black	0	0	0.1137
93_P9_C02	NA	black	0	0	0
93_P8_F06	NA	black	0	4.3354	0
93_P9_G07	NA	black	0	0	0
93_P10_E08	NA	black	0	0	0.13225
93_P10_D02	-0.283892562535	red	1	4.2981	0.060739
93_P10_A09	NA	black	0	3.7653	0
93_P10_G07	0.262160624919	red	1	2.4529	0.070389
93_P8_E11	NA	black	0	4.3608	0
93_P10_C12	NA	black	0	0	0.11636
93_P9_B12	NA	black	0	0.9501	0
93_P8_H03	NA	black	0	3.3017	0
93_P9_G12	0.163970896199	red	1	2.3699	0.22774
93_P10_B06	NA	black	0	0	0.32539
93_P8_D02	NA	black	0	3.5003	0
93_P9_A10	1.006954326	green3	2	0.14666	0.066261
93_P9_G01	NA	black	0	0.17887	0
93_P9_H12	-0.181311648891	red	1	4.1027	0.13619
93_P10_F12	0.239233761278	red	1	2.5548	0.05797
93_P10_G03	NA	black	0	5.1409	0
93_P9_F08	0.263617343848	red	1	2.2984	0.12433
93_P10_C06	NA	black	0	0	0
