Cell_name	Zvalue	Color	Cluster	CTNNB1	NELFCD
MGH36_P3_A09	-0.220061047868	green3	2	3.2617	4.8803
MGH36_P3_A10	-0.571524580846	green3	2	4.1421	0.25096
MGH36_P3_A12	NA	black	0	0	5.0209
MGH36_P3_B02	NA	black	0	3.9531	0
MGH36_P3_B03	NA	black	0	0	4.901
MGH36_P3_B04	0.117161500491	green3	2	2.7849	3.6074
MGH36_P3_B09	-0.849378237417	green3	2	1.3967	4.7666
MGH36_P3_B10	-2.25666209595	black	0	1.1057	5.9776
MGH36_P3_B11	-3.28353369199	black	0	6.3177	0.6581
MGH36_P3_B12	NA	black	0	3.2171	0
MGH36_P3_C01	-0.21016834122	green3	2	2.6427	4.3549
MGH36_P3_C03	NA	black	0	0	4.8914
MGH36_P3_C04	0.218141268486	green3	2	3.3324	2.6998
MGH36_P3_C05	NA	black	0	2.2104	0
MGH36_P3_C06	0.169091767462	green3	2	4.8195	4.4103
MGH36_P3_C08	NA	black	0	0.99928	0
MGH36_P3_C11	-1.78130667618	red	1	0.2762	5.1312
MGH36_P3_C12	3.47673722281	black	0	0.74416	0.82212
MGH36_P3_D01	0.10675453493	green3	2	3.6177	2.3089
MGH36_P3_D02	NA	black	0	1.9731	0
MGH36_P3_D03	-1.37516818585	red	1	4.8717	0.75531
MGH36_P3_D04	NA	black	0	1.5656	0
MGH36_P3_D07	NA	black	0	1.2636	0
MGH36_P3_D08	NA	black	0	2.6724	0
MGH36_P3_D09	-0.521478810888	green3	2	2.7723	5.1489
MGH36_P3_D11	1.57145067009	green3	2	0.81967	2.4673
MGH36_P3_E02	NA	black	0	1.0007	0
MGH36_P3_E04	0.514427150772	green3	2	1.9694	3.1504
MGH36_P3_E05	0.0865997867762	green3	2	4.649	4.2323
MGH36_P3_E06	-0.000342087703161	green3	2	3.825	3.5619
MGH36_P3_E07	NA	black	0	4.9586	0
MGH36_P3_E08	NA	black	0	5.246	0
MGH36_P3_E09	1.20842134307	green3	2	2.0827	2.0261
MGH36_P3_E10	NA	black	0	0.36625	0
MGH36_P3_E11	-1.31928914696	red	1	5.654	2.1362
MGH36_P3_E12	0.318342621371	green3	2	4.955	4.715
MGH36_P3_F01	-0.479250512754	green3	2	3.3237	6.1305
MGH36_P3_F02	NA	black	0	1.9851	0
MGH36_P3_F05	NA	black	0	5.689	0
MGH36_P3_F06	NA	black	0	2.0307	0
MGH36_P3_F07	NA	black	0	0	0
