Cell_name	Zvalue	Color	Cluster	POU2AF1	POU2F1
MGH36_P3_G01	NA	black	0	0.14012	0
MGH36_P3_G02	NA	black	0	0.24245	0
MGH36_P3_G03	0.607330839424	green3	2	0.17121	0.14535
MGH36_P3_G04	0.43215590788	green3	2	0.25459	0.082703
MGH36_P3_G05	-0.218959329536	green3	2	0.31267	1.7203
MGH36_P3_G06	0.132383345651	green3	2	0.35614	0.30685
MGH36_P3_G08	0.696121526871	green3	2	0.16092	0.048236
MGH36_P3_G09	NA	black	0	0	1.8176
MGH36_P3_G10	0.284164490081	green3	2	0.31499	0.037031
MGH36_P3_G11	-0.380435448747	green3	2	0.27381	1.9123
MGH36_P3_G12	0.67436681823	green3	2	0.10836	0.24489
MGH36_P3_H03	NA	black	0	0.34937	0
MGH36_P3_H04	0.876164447853	green3	2	0.067639	0.11636
MGH36_P3_H05	NA	black	0	0.25338	0
MGH36_P3_H07	NA	black	0	0.67356	0
MGH36_P3_H08	-0.00562327213189	green3	2	0.42761	1.4447
MGH36_P3_H11	-1.05387749487	green3	2	0.2302	2.8205
MGH36_P3_H12	1.85221826584	black	0	0.87421	2.7536
MGH36_P4_A01	NA	black	0	0	0
MGH36_P4_A02	NA	black	0	0.80653	0
MGH36_P4_A03	-0.0501413011201	green3	2	0.71282	1.0614
MGH36_P4_A04	0.477857374034	green3	2	0.23511	0.09356
MGH36_P4_A06	0.416823768571	green3	2	0.17249	0.43616
MGH36_P4_A07	NA	black	0	0	2.5502
MGH36_P4_A08	NA	black	0	0	0.10836
MGH36_P4_A11	NA	black	0	0	0.9313
MGH36_P4_A12	NA	black	0	0.28451	0
MGH36_P4_B02	-0.538500639837	green3	2	0.3584	3.1403
MGH36_P4_B04	0.169563675967	green3	2	0.33914	0.29631
MGH36_P4_B05	0.0185980554564	green3	2	0.44784	1.6915
MGH36_P4_B06	NA	black	0	0	3.4162
MGH36_P4_B08	-0.55912459537	green3	2	0.13356	1.7255
MGH36_P4_B09	NA	black	0	0	0.56755
MGH36_P4_B12	NA	black	0	0	3.0762
MGH36_P4_C02	-0.843693669216	green3	2	0.301	3.0996
MGH36_P4_C03	NA	black	0	0	0.086784
MGH36_P4_C04	-0.637860244223	green3	2	0.70576	0.30685
MGH36_P4_C05	0.338859837635	green3	2	0.2857	0.11902
MGH36_P4_C06	0.268428075187	green3	2	0.31962	0.049631
MGH36_P4_C07	0.530740692616	green3	2	0.21661	0.082703
MGH36_P4_C08	-0.181668006095	green3	2	0.38294	2.1979
MGH36_P4_C10	0.194773203447	green3	2	0.21537	0.71633
MGH36_P4_C11	NA	black	0	0.59455	0
MGH36_P4_C12	-0.955243348165	green3	2	0.26063	2.9054
MGH36_P4_D01	-0.0974215268418	green3	2	0.48646	0.53903
MGH36_P4_D02	0.20568756639	green3	2	0.34369	0.027154
MGH36_P4_D05	NA	black	0	0.91073	0
MGH36_P4_D07	-0.231080893357	green3	2	0.49978	0.07861
MGH36_P4_D08	-0.766844993919	green3	2	0.22157	2.3254
MGH36_P4_D09	0.608347536291	green3	2	0.19409	0.048236
MGH36_P4_D10	NA	black	0	0	0
MGH36_P4_D11	-0.27946546867	green3	2	0.37072	2.4473
MGH36_P4_D12	0.619618153384	green3	2	0.16993	0.13093
MGH36_P4_E01	-0.345043935235	green3	2	0.29631	1.9542
MGH36_P4_E02	0.936433503368	green3	2	0.059355	0.073135
MGH36_P4_E04	NA	black	0	0	0
MGH36_P4_E06	0.231882721389	green3	2	0.32884	0.10434
MGH36_P4_E07	0.286979419807	green3	2	0.53705	2.2256
MGH36_P4_E08	0.175011292547	green3	2	0.35163	0.085425
MGH36_P4_E09	0.664043213165	green3	2	0.17505	0.03984
MGH36_P4_E10	0.212447745539	green3	2	0.34028	0.044044
MGH36_P4_E11	NA	black	0	0	1.412
MGH36_P4_E12	5.89785202991	black	0	1.8726	2.8172
MGH36_P4_F01	0.0327504584082	green3	2	0.29631	0.9782
MGH36_P4_F02	-1.20618225025	green3	2	0.17505	2.6747
MGH36_P4_F03	-0.861038510474	green3	2	0.70487	0.029983
MGH36_P4_F04	-0.269325229212	green3	2	0.51501	0.09356
MGH36_P4_F05	0.442018038286	green3	2	0.23756	0.15834
MGH36_P4_F06	-0.121429977084	green3	2	0.45733	0.020058
MGH36_P4_F07	NA	black	0	0	0.056584
MGH36_P4_F09	NA	black	0	0	2.7286
MGH36_P4_F10	0.752316942233	green3	2	0.14405	0.031395
MGH36_P4_F11	-0.290733570152	green3	2	0.19409	1.5013
MGH36_P4_F12	-0.191169781609	green3	2	0.18269	1.3363
MGH36_P4_G01	NA	black	0	0	1.0328
MGH36_P4_G02	-0.895418294185	green3	2	0.72072	0.04684
MGH36_P4_G03	NA	black	0	0.23634	0
MGH36_P4_G04	NA	black	0	0	0.028569
MGH36_P4_G05	0.43400425508	green3	2	0.58111	2.2693
MGH36_P4_G06	NA	black	0	0	2.9146
MGH36_P4_G08	NA	black	0	0	0.074505
MGH36_P4_G09	0.367701520955	green3	2	0.28214	0.059355
MGH36_P4_G10	-0.338151068747	green3	2	0.28333	1.8683
MGH36_P4_G11	-0.0723695991401	green3	2	0.16736	1.1538
