Cell_name	Zvalue	Color	Cluster	ATM	BRCA1
MGH54_P7_G04	NA	black	0	2.6297	0
MGH54_P7_G06	NA	black	0	0.33914	0
MGH54_P7_G07	NA	black	0	0.31615	0
MGH54_P7_G08	NA	black	0	0.060739	0
MGH54_P7_G09	0.181364445715	green3	2	0.35502	0.30685
MGH54_P7_G10	NA	black	0	0	0
MGH54_P7_G11	0.268915862846	green3	2	0.24975	0.21412
MGH54_P7_H01	0.290982287164	green3	2	0.14143	0.24367
MGH54_P7_H02	0.25841937636	green3	2	0.21661	0.25217
MGH54_P7_H04	NA	black	0	0.30918	0
MGH54_P7_H05	NA	black	0	0.12168	0
MGH54_P7_H09	-0.00963129354135	green3	2	0.42223	0.68796
MGH54_P7_H10	0.213632444932	green3	2	0.082703	0.37518
MGH54_P8_A01	0.283735750369	green3	2	0.14535	0.25217
MGH54_P8_A06	NA	black	0	2.7294	0
MGH54_P8_A07	0.248737706721	green3	2	0.090853	0.32539
MGH54_P8_A09	-1.17498758471	red	1	3.0272	0.15963
MGH54_P8_A10	NA	black	0	0.6248	0
MGH54_P8_A11	0.162515207213	green3	2	0.28688	0.37851
MGH54_P8_A12	0.342489846976	green3	2	0.12697	0.1776
MGH54_P8_B01	NA	black	0	0	0
MGH54_P8_B02	NA	black	0	0	0.83269
MGH54_P8_B04	0.304544674561	green3	2	0.13225	0.22897
MGH54_P8_B08	-0.181074889558	red	1	0.09356	0.89142
MGH54_P8_B09	0.180326609931	green3	2	0.15963	0.39726
MGH54_P8_B12	NA	black	0	0.14274	0
MGH54_P8_C02	NA	black	0	4.5898	0
MGH54_P8_C04	NA	black	0	0	0
MGH54_P8_C06	NA	black	0	0.048236	0
MGH54_P8_C07	NA	black	0	0	0
MGH54_P8_C09	0.365212157979	green3	2	0.15186	0.12829
MGH54_P8_C12	NA	black	0	0.49467	0
MGH54_P8_D01	NA	black	0	0.13356	0
MGH54_P8_D03	NA	black	0	0.89685	0
MGH54_P8_D04	0.298869020046	green3	2	0.1776	0.21164
MGH54_P8_D05	0.211560176083	green3	2	0.04684	0.38847
MGH54_P8_D06	NA	black	0	0.04684	0
MGH54_P8_D07	0.289276242856	green3	2	0.11237	0.26063
MGH54_P8_D08	0.320364886207	green3	2	0.092207	0.22774
MGH54_P8_D10	0.378639906828	green3	2	0.17505	0.090853
MGH54_P8_D11	0.0101753533508	green3	2	0.84559	0.50487
MGH54_P8_D12	0.150601296455	green3	2	0.40817	0.338
MGH54_P8_E01	NA	black	0	0.08134	0
MGH54_P8_E04	NA	black	0	0.12433	0
MGH54_P8_E05	0.292067476975	green3	2	0.20289	0.20664
MGH54_P8_E07	4.90201453429	black	0	3.6326	2.7769
MGH54_P8_E08	0.305331692748	green3	2	0.27858	0.12829
MGH54_P8_E10	0.429332601362	green3	2	0.10702	0.067639
MGH54_P8_F01	0.131409815465	green3	2	0.61353	0.17249
MGH54_P8_F02	NA	black	0	0	0
MGH54_P8_F04	NA	black	0	0.15186	0
MGH54_P8_F05	NA	black	0	0.32769	0
MGH54_P8_F06	0.202109424646	green3	2	0.089498	0.38847
