Cell_name	Zvalue	Color	Cluster	BRCA1	IGF1
MGH53_P6_B11	-1.06961678183	black	0	3.9473	0.17121
MGH53_P4_C07	NA	black	0	0	0.094912
MGH53_P6_H06	NA	black	0	0	0
MGH36_P1_A01	0.159777342626	green3	2	0.096262	0.10969
MGH36_P1_A02	NA	black	0	0	0
MGH36_P1_A03	0.140754208065	green3	2	0.062122	0.15316
MGH36_P1_A04	NA	black	0	0	0.12565
MGH36_P1_A05	NA	black	0	0	0.19283
MGH36_P1_A06	NA	black	0	0	0.10969
MGH36_P1_A08	NA	black	0	0	0.062122
MGH36_P1_A10	-1.12775965753	black	0	3.5955	0.1137
MGH36_P1_A12	NA	black	0	0	0.038436
MGH36_P1_B02	-0.880129420153	black	0	2.7257	0.060739
MGH36_P1_B03	NA	black	0	0	0.05797
MGH36_P1_B04	NA	black	0	0	0.032806
MGH36_P1_B06	0.195862168857	green3	2	0.03984	0.079975
MGH36_P1_B07	NA	black	0	0	0.035624
MGH36_P1_B08	0.225515029548	green3	2	0.053806	0.028569
MGH36_P1_B09	NA	black	0	0	0.15575
MGH36_P1_B10	NA	black	0	0	0.028569
MGH36_P1_B11	0.130572736521	green3	2	0.15834	0.13093
MGH36_P1_B12	0.184943595053	green3	2	0.071763	0.08134
MGH36_P1_C01	0.214779377972	green3	2	0.070389	0.035624
MGH36_P1_C03	0.149590290947	green3	2	0.19409	0.074505
MGH36_P1_C05	NA	black	0	0	0.10165
MGH36_P1_C06	NA	black	0	0.10165	0
MGH36_P1_C07	NA	black	0	0	0.035624
MGH36_P1_C08	0.22107641814	green3	2	0.060739	0.031395
MGH36_P1_C09	NA	black	0	0	0.020058
MGH36_P1_C10	0.162306953319	green3	2	0.052416	0.12433
MGH36_P1_C11	NA	black	0	0.041243	0
MGH36_P1_D01	0.0705002803112	green3	2	0.26063	0.20789
MGH36_P1_D02	NA	black	0	0	0.096262
MGH36_P1_D03	0.147043257219	green3	2	0.11902	0.12035
MGH36_P1_D04	NA	black	0	0.22774	0
MGH36_P1_D06	0.120445083423	green3	2	0.15575	0.15056
MGH36_P1_D07	NA	black	0	3.0411	0
MGH36_P1_D08	0.0111118193572	green3	2	0.60312	0.069015
MGH36_P1_D09	NA	black	0	0	0
MGH36_P1_D11	NA	black	0	0	0
MGH36_P1_F01	NA	black	0	0	0.055196
MGH36_P1_F02	-0.291007433049	black	0	1.3488	0.042644
MGH36_P1_F03	0.19142105635	green3	2	0.029983	0.090853
MGH36_P1_F04	NA	black	0	0.086784	0
MGH36_P1_F05	NA	black	0	0.46153	0
MGH36_P1_F06	NA	black	0	0	0.26544
MGH36_P1_F08	NA	black	0	0	0.056584
MGH36_P1_F11	NA	black	0	0	0
MGH36_P1_F12	NA	black	0	2.9616	0
MGH36_P1_G02	NA	black	0	0	0
MGH36_P1_G03	NA	black	0	0	0.02432
MGH36_P1_G04	NA	black	0	0	0
MGH36_P1_G07	NA	black	0	0	0.0057593
MGH36_P1_G08	NA	black	0	0	0.064883
MGH36_P1_G09	NA	black	0	0	0
MGH36_P1_H02	NA	black	0	0	0.014355
MGH36_P1_H03	0.210824824035	green3	2	0.034216	0.060739
MGH36_P1_H04	0.151505616919	green3	2	0.13093	0.10702
MGH36_P1_H05	NA	black	0	0	0.020058
MGH36_P1_H06	NA	black	0	0	0.020058
MGH36_P1_H07	NA	black	0	0	0.0028825
MGH36_P1_H09	NA	black	0	0	0
MGH36_P1_H10	NA	black	0	0.028569	0
MGH36_P3_A01	NA	black	0	0	0.084064
MGH36_P3_A02	NA	black	0	0	0
MGH36_P3_A03	-0.00809062129125	green3	2	0.88049	0.35276
MGH36_P3_A04	0.0399184433101	green3	2	0.20664	0.28806
MGH36_P3_A05	NA	black	0	0	0.3115
MGH36_P3_A08	0.137382635228	green3	2	0.15186	0.12168
MGH36_P3_A09	NA	black	0	0	0.079975
MGH36_P3_A10	-1.22280634927	black	0	3.5814	0.084064
MGH36_P3_A12	NA	black	0	0	0.20163
MGH36_P3_B02	NA	black	0	0	0
MGH36_P3_B03	NA	black	0	0	0.25822
