Cell_name	Zvalue	Color	Cluster	CLU	JUND
MGH36_P4_B08	NA	black	0	3.4742	0
MGH36_P4_B09	-0.131239341363	green3	2	8.3735	1.5734
MGH36_P4_B12	NA	black	0	6.0876	0
MGH36_P4_C02	-1.86938062798	black	0	8.7534	0.46467
MGH36_P4_C03	0.136930733555	green3	2	5.1623	0.2916
MGH36_P4_C04	-0.526178626954	green3	2	8.661	1.3074
MGH36_P4_C05	-0.520090507833	green3	2	6.2434	0.21661
MGH36_P4_C06	0.694347642046	green3	2	9.5743	2.2076
MGH36_P4_C07	-0.0402417456257	green3	2	8.6695	1.6763
MGH36_P4_C08	NA	black	0	9.0853	0
MGH36_P4_C10	0.563077153843	green3	2	7.6478	2.5044
MGH36_P4_C11	1.61883546703	green3	2	9.6103	2.8584
MGH36_P4_C12	0.398455016536	green3	2	4.6777	0.21412
MGH36_P4_D01	0.398186160482	green3	2	7.8818	2.1421
MGH36_P4_D02	NA	black	0	0	0
MGH36_P4_D05	NA	black	0	7.2977	0
MGH36_P4_D07	-0.739184946949	green3	2	9.406	1.3103
MGH36_P4_D08	-1.15846503948	green3	2	9.7822	1.1564
MGH36_P4_D09	0.0653125114389	green3	2	8.3351	1.7459
MGH36_P4_D10	NA	black	0	9.8621	0
MGH36_P4_D11	0.827041844045	green3	2	8.2255	2.5977
MGH36_P4_D12	NA	black	0	5.9044	0
MGH36_P4_E01	NA	black	0	3.9061	0
MGH36_P4_E02	1.43389531366	green3	2	9.5322	2.7392
MGH36_P4_E04	NA	black	0	9.2211	0
MGH36_P4_E06	NA	black	0	0.16221	0
MGH36_P4_E07	-2.37592407609	black	0	9.6425	0.51803
MGH36_P4_E08	-1.04386748575	green3	2	8.5892	0.92676
MGH36_P4_E09	0.340765483683	green3	2	9.9017	1.9829
MGH36_P4_E10	-1.43263767459	green3	2	8.0971	0.47197
MGH36_P4_E11	0.896002772017	green3	2	8.5523	2.5477
MGH36_P4_E12	0.337285880772	green3	2	6.9582	3.409
MGH36_P4_F01	NA	black	0	5.9537	0
MGH36_P4_F02	-1.37035430624	green3	2	8.5808	0.70752
MGH36_P4_F03	-0.472730539608	green3	2	9.9173	1.5356
MGH36_P4_F04	0.619533062428	green3	2	8.9444	2.2054
MGH36_P4_F05	0.854954874429	green3	2	7.8166	2.962
MGH36_P4_F06	-1.21853083531	green3	2	9.3162	1.0179
MGH36_P4_F07	0.0908608725282	green3	2	5.3069	0.63784
MGH36_P4_F09	NA	black	0	5.5293	0
MGH36_P4_F10	-0.47774499429	green3	2	4.9312	2.3153
MGH36_P4_F11	0.0049394447644	green3	2	5.9924	1.6973
MGH36_P4_F12	-0.918245913245	green3	2	8.8104	1.0718
MGH36_P4_G01	NA	black	0	8.4824	0
MGH36_P4_G02	-2.12459242437	black	0	9.4829	0.58785
MGH36_P4_G03	-1.19325985954	green3	2	8.6561	0.848
MGH36_P4_G04	NA	black	0	3.9825	0
MGH36_P4_G05	-0.0209605787878	green3	2	6.1524	2.4521
