Cell_name	Zvalue	Color	Cluster	BRCA1	MDM2
MGH53_P6_B06	0.196931881195	red	1	0.21412	1.4141
MGH53_P6_B07	-0.118705497111	red	1	0.35502	2.6592
MGH53_P6_B09	-3.39525949488	black	0	3.5718	0.14012
MGH53_P6_B10	0.521241674403	green3	2	0.20038	0.32423
MGH53_P6_C01	NA	black	0	0	0.52907
MGH53_P6_C03	0.389713058498	red	1	0.32884	0.31034
MGH53_P6_C04	-1.73436051095	black	0	2.2995	0.29396
MGH53_P6_C05	0.257096207086	red	1	0.23143	1.1718
MGH53_P6_C06	0.515187045359	green3	2	0.19409	0.36737
MGH53_P6_C07	NA	black	0	0	0.24489
MGH53_P6_C08	0.537999964809	green3	2	0.20664	0.24245
MGH53_P6_C09	NA	black	0	0	0.32077
MGH53_P6_C10	NA	black	0	0	0.51501
MGH53_P6_C11	NA	black	0	0	2.6658
MGH53_P6_C12	NA	black	0	0	1.4957
MGH53_P6_D01	NA	black	0	0	0.3505
MGH53_P6_D02	NA	black	0	0	0
MGH53_P6_D03	NA	black	0	0	2.7284
MGH53_P6_D05	NA	black	0	0	0.40272
MGH53_P6_D07	NA	black	0	0	0.24732
MGH53_P6_D08	NA	black	0	0.33457	0
MGH53_P6_D09	NA	black	0	0	0.62387
MGH53_P6_D10	NA	black	0	0	2.6521
MGH53_P6_D11	0.535043709597	green3	2	0.2461	0.088142
MGH53_P6_D12	-0.145634109031	red	1	0.94411	1.0929
MGH53_P6_E01	NA	black	0	0	0.58207
MGH53_P6_E02	0.577248981328	green3	2	0.12961	0.37851
MGH53_P6_E03	-0.61425126392	red	1	0.16221	3.9611
MGH53_P6_E04	NA	black	0	0	0.31846
MGH53_P6_E05	NA	black	0	0	2.8071
MGH53_P6_E06	0.483750012638	green3	2	0.27739	0.14666
MGH53_P6_E07	NA	black	0	0	0
MGH53_P6_E08	NA	black	0	0	0.75788
MGH53_P6_E09	NA	black	0	0	3.0647
MGH53_P6_E10	NA	black	0	0	0.30568
MGH53_P6_F01	NA	black	0	0	1.7273
MGH53_P6_F02	NA	black	0	0	0.17887
MGH53_P6_F03	NA	black	0	0	0.15963
MGH53_P6_F04	NA	black	0	0	1.4782
MGH53_P6_F05	NA	black	0	0	0.6107
MGH53_P6_F06	NA	black	0	0	3.0167
MGH53_P6_F07	NA	black	0	0	0.21412
MGH53_P6_F08	NA	black	0	0	3.8136
MGH53_P6_F09	0.278220312016	red	1	0.1635	1.2216
MGH53_P6_F10	NA	black	0	0	0.57821
MGH53_P6_G01	NA	black	0	0	0.35276
MGH53_P6_G02	NA	black	0	0	2.6808
MGH53_P6_G03	0.485920219889	green3	2	0.23266	0.32998
MGH53_P6_G04	-0.0492583996141	red	1	0.12961	2.2357
MGH53_P6_G05	NA	black	0	0	0.25096
MGH53_P6_G06	NA	black	0	0	0.26424
MGH53_P6_G07	NA	black	0	0	0.10568
MGH53_P6_G08	NA	black	0	0	3.22
MGH53_P6_G09	NA	black	0	0	2.6889
MGH53_P6_G10	NA	black	0	0	0.38073
MGH53_P6_G11	NA	black	0	0	1.8468
MGH53_P6_H01	NA	black	0	0.46989	0
MGH53_P6_H02	-0.717207422395	red	1	0.17887	4.3344
MGH53_P6_H03	NA	black	0	0	0.49365
MGH53_P6_H04	NA	black	0	0	4.2415
MGH53_P6_H05	0.16636394341	red	1	0.24489	1.4818
MGH53_P6_H07	0.00682160837845	red	1	0.43189	2.0538
MGH53_P6_H09	NA	black	0	0	0.077243
MGH53_P6_H10	NA	black	0	0	0.97966
MGH53_P6_H11	-3.18603002856	black	0	3.8146	0.41034
MGH53_P7_A01	NA	black	0	0	0.79161
MGH53_P7_A02	NA	black	0	0	3.8756
MGH53_P7_A03	NA	black	0	0	2.1972
MGH53_P7_A04	0.323727487976	red	1	0.21661	0.96569
MGH53_P7_A05	NA	black	0	0	3.0723
MGH53_P7_A06	NA	black	0	0	1.2516
MGH53_P7_A07	NA	black	0	0	0.33685
MGH53_P7_A09	NA	black	0	0	0.39835
MGH53_P7_A11	-0.678990620938	red	1	0.21288	4.3577
MGH53_P7_A12	0.114240245118	red	1	0.52406	1.0065
MGH53_P7_B01	NA	black	0	0	0.86552
MGH53_P7_B02	-0.0236628052944	red	1	0.47923	2.2711
MGH53_P7_B03	NA	black	0	0	0.35502
MGH53_P7_B04	NA	black	0	0	4.4763
MGH53_P7_B05	NA	black	0	0	3.4673
MGH53_P7_B06	NA	black	0	0	3.6236
MGH53_P7_B07	-0.422949683841	red	1	0.14274	3.342
MGH53_P7_B08	NA	black	0	0	3.7945
MGH53_P7_B10	-0.506240481799	red	1	1.5548	1.1104
MGH53_P7_B11	NA	black	0	0	0.62293
MGH53_P7_B12	NA	black	0	0	0.32308
MGH53_P7_C01	NA	black	0	0	2.8906
MGH53_P7_C02	NA	black	0	0	0.55876
MGH53_P7_C03	-0.118271236717	red	1	0.92752	1.2197
MGH53_P7_C04	-0.279039013648	red	1	0.28214	3.1873
MGH53_P7_C05	2.21627723693	black	0	3.1755	3.649
MGH53_P7_C06	NA	black	0	0	0.19912
MGH53_P7_C07	NA	black	0	0	1.5306
MGH53_P7_C09	0.494073649491	green3	2	0.21785	0.35614
MGH53_P7_C11	0.597514893528	red	1	0.12961	0.3173
MGH53_P7_C12	NA	black	0	0	3.4416
MGH53_P7_D01	NA	black	0	0.43082	0
MGH53_P7_D02	NA	black	0	0	0.46989
MGH53_P7_D03	NA	black	0	0	4.1604
MGH53_P7_D04	NA	black	0	0	2.0614
MGH53_P7_D05	NA	black	0	0	0.28214
MGH53_P7_D06	NA	black	0	0	0.8024
MGH53_P7_D07	NA	black	0	0	0.67356
MGH53_P7_D10	0.0236627413903	red	1	0.049631	2.0303
MGH53_P7_D11	NA	black	0	0	3.256
MGH53_P7_D12	NA	black	0	0	2.362
MGH53_P7_E01	0.468123749703	green3	2	0.29042	0.14926
MGH53_P7_E02	NA	black	0	0	0.33571
MGH53_P7_E03	NA	black	0	0	2.6341
MGH53_P7_E04	NA	black	0	0	0
MGH53_P7_E05	NA	black	0	0	0
MGH53_P7_E06	0.24286759368	red	1	0.35163	0.92067
MGH53_P7_E07	NA	black	0	0	1.6411
MGH53_P7_E08	0.435744541138	green3	2	0.32998	0.086784
MGH53_P7_E09	NA	black	0	0	3.1499
MGH53_P7_E10	0.491179128656	green3	2	0.18777	0.46989
MGH53_P7_E11	NA	black	0	0	0.28924
