Cell_name	Zvalue	Color	Cluster	IFNAR1	STAT3
MGH36_P4_H05	1.08530686236	green3	2	0.42008	0.13488
MGH36_P4_H09	0.0163961340526	red	1	1.8758	2.9216
MGH36_P4_H12	NA	black	0	0.35389	0
MGH36_P6_A02	0.814658347909	red	1	3.5064	3.5737
MGH36_P6_A04	-1.73049340432	red	1	4.0655	0.23634
MGH36_P6_A05	NA	black	0	0	0.29042
MGH36_P6_A07	1.11351271714	green3	2	0.35276	0.18142
MGH36_P6_A08	1.23320000434	red	1	0.1177	0.27977
MGH36_P6_A09	1.11963649564	green3	2	0.19409	0.3774
MGH36_P6_A10	1.34367561044	red	1	0.13093	0.084064
MGH36_P6_A11	NA	black	0	0.062122	0
MGH36_P6_B03	NA	black	0	0	5.8989
MGH36_P6_B04	-0.123922636768	red	1	2.438	1.7502
MGH36_P6_B05	-0.523089350467	red	1	3.3138	1.3511
MGH36_P6_B06	0.68203233757	red	1	3.4339	3.4105
MGH36_P6_B10	-1.08244961792	red	1	0.28333	4.1595
MGH36_P6_B11	1.09551970365	green3	2	0.2916	0.29866
MGH36_P6_B12	NA	black	0	0.123	0
MGH36_P6_C02	-1.2007555876	red	1	0.20163	4.2593
MGH36_P6_C03	NA	black	0	0	0.1865
MGH36_P6_C04	NA	black	0	3.1444	0
MGH36_P6_C05	NA	black	0	1.2314	0
MGH36_P6_C06	-1.18506003239	red	1	0.060739	4.0746
MGH36_P6_C07	-1.20546171399	red	1	0.1137	4.1633
MGH36_P6_C08	-0.186269798305	red	1	1.5534	4.183
MGH36_P6_C09	-0.119262079741	red	1	1.9464	0.17249
MGH36_P6_C11	NA	black	0	0	5.0442
MGH36_P6_C12	-0.496493431862	red	1	2.5883	0.59072
MGH36_P6_D01	NA	black	0	3.6823	0
MGH36_P6_D02	-0.56533132437	red	1	0.40381	3.3403
MGH36_P6_D03	1.21510692666	red	1	3.2516	4.5569
MGH36_P6_D04	1.2038693221	red	1	0.28333	0.11503
MGH36_P6_D05	-0.529403406453	red	1	0.98768	3.9866
MGH36_P6_D06	NA	black	0	3.8147	0
MGH36_P6_D07	0.632567155368	red	1	4.34	2.959
MGH36_P6_D08	-0.793238408584	red	1	0.07861	3.4885
MGH36_P6_D10	NA	black	0	0	4.4369
MGH36_P6_D11	NA	black	0	0	4.5056
MGH36_P6_E02	NA	black	0	0	0
MGH36_P6_E03	-0.651232931826	red	1	0.15186	3.3138
MGH36_P6_E04	0.0334167815191	red	1	1.9119	3.1462
MGH36_P6_E05	2.06266405429	red	1	4.6568	4.2419
MGH36_P6_E06	0.0488819606456	red	1	1.7312	0.15963
MGH36_P6_E07	NA	black	0	0.05797	0
MGH36_P6_E08	2.86630113098	red	1	4.3896	5.2895
MGH36_P6_E09	NA	black	0	0	2.4534
MGH36_P6_E10	NA	black	0	2.8207	0
MGH36_P6_E11	0.751552634047	red	1	0.65627	0.48749
MGH36_P6_E12	NA	black	0	3.3597	0
MGH36_P6_F01	NA	black	0	0.11237	0
MGH36_P6_F04	-1.63125049473	red	1	0.063503	4.758
MGH36_P6_F06	-0.592372997686	red	1	1.2265	4.9541
MGH36_P6_F07	0.642018012702	red	1	0.098958	1.2425
MGH36_P6_F08	-1.68099916528	red	1	3.9721	0.20914
MGH36_P6_F10	-1.93885282317	red	1	0.32308	5.7363
MGH36_P6_F12	1.28255092806	red	1	4.0201	3.8476
MGH36_P6_G01	NA	black	0	0	0.067639
MGH36_P6_G02	NA	black	0	0	2.4797
MGH36_P6_G03	-0.560751893912	red	1	2.5273	0.21909
MGH36_P6_G04	1.24985240859	red	1	0.15445	0.20789
MGH36_P6_G05	-0.736104899091	red	1	0.11902	3.4276
MGH36_P6_G06	2.01703235056	red	1	3.6492	5.2492
MGH36_P6_G07	1.14743198553	green3	2	0.24245	0.27023
MGH36_P6_G08	-1.51737172532	red	1	0.2916	4.931
MGH36_P6_G09	-1.22066470944	red	1	0.15316	4.233
MGH36_P6_G10	0.154854998678	red	1	1.5965	0.15445
MGH36_P6_G11	NA	black	0	0	3.4476
MGH36_P6_G12	-0.616724676085	red	1	0.57918	3.6061
MGH36_P6_H06	0.238541261427	red	1	2.0489	5.0681
MGH36_P6_H07	1.34943214664	red	1	0.12168	0.086784
MGH36_P6_H10	-0.287812889994	red	1	1.3363	3.8883
MGH36_P6_H12	1.10550770983	green3	2	2.8677	5.114
MGH36_P7_A01	0.059386616167	red	1	0.17887	2.16
MGH36_P7_A02	0.493869029725	red	1	0.33342	1.3539
MGH36_P7_A03	NA	black	0	0	4.0128
MGH36_P7_A04	NA	black	0	0.65992	0
MGH36_P7_A06	1.03668070544	red	1	0.079975	0.6332
MGH36_P7_A07	-0.361278702771	red	1	0.66539	3.1107
MGH36_P7_A08	NA	black	0	0	0.4489
MGH36_P7_A09	-1.67388096105	red	1	0.12035	4.9085
MGH36_P7_A10	0.0623960444497	red	1	0.60122	2.1217
MGH36_P7_A11	NA	black	0	0	0
MGH36_P7_A12	-1.32427789301	red	1	0.14143	4.3846
MGH36_P7_B01	NA	black	0	2.724	0
MGH36_P7_B02	-1.80257006572	red	1	0.17887	5.2119
MGH36_P7_B03	1.22772245074	red	1	0.26183	0.10299
MGH36_P7_B04	-0.750604170671	red	1	3.7696	1.2588
MGH36_P7_B06	NA	black	0	4.0632	0
MGH36_P7_B07	0.295481130198	red	1	1.4174	0.15445
MGH36_P7_B08	NA	black	0	0	4.2503
MGH36_P7_B09	-1.07989141461	red	1	0.40926	4.3245
MGH36_P7_B10	-1.38040395946	red	1	0.1003	4.4211
MGH36_P7_B11	1.25904409811	red	1	0.19409	0.14143
MGH36_P7_B12	1.0723025509	green3	2	0.40381	0.18523
MGH36_P7_C11	-0.227599029278	red	1	0.11902	2.6204
MGH36_P7_D01	-1.27510930129	red	1	0.11103	4.2696
MGH36_P7_D02	-1.64710964151	red	1	0.10299	4.8401
MGH36_P7_D03	1.15840240731	green3	2	0.26303	0.22404
MGH36_P7_D05	-0.644161418123	red	1	0.12565	3.286
MGH36_P7_D06	1.20772621728	red	1	0.18777	0.23634
MGH36_P7_D07	0.482455387114	red	1	3.0673	3.31
MGH36_P7_D08	1.0877065626	green3	2	0.23634	0.38184
MGH36_P7_D09	-0.630408433416	red	1	2.56	0.064883
MGH36_P7_D10	-0.989723912572	red	1	3.3424	0.55974
MGH36_P7_D11	NA	black	0	0	0.31615
MGH36_P7_E01	NA	black	0	0	0.40926
MGH36_P7_E03	NA	black	0	0	0.77315
MGH36_P7_E04	NA	black	0	0	2.3109
MGH36_P7_E05	NA	black	0	0.21661	0
MGH36_P7_E07	-0.825723897282	red	1	3.3568	0.85679
MGH36_P7_E08	-1.61628636965	red	1	0.2762	5.0754
MGH36_P7_E10	-2.37697797116	red	1	4.8312	0.18523
MGH36_P7_E12	NA	black	0	0	0.09356
MGH36_P7_F01	2.44213949668	red	1	4.0582	5.2209
MGH36_P7_F02	-1.59922313059	red	1	0.23266	4.9698
MGH36_P7_F03	-0.577024149721	red	1	0.21288	3.2299
MGH36_P7_F04	NA	black	0	0.19661	0
MGH36_P7_F06	1.32938203407	red	1	4.3843	3.6774
MGH36_P7_F08	-0.766933447458	red	1	0.18142	3.5233
MGH36_P7_F09	NA	black	0	0	4.8533
MGH36_P7_F10	NA	black	0	0	0.92524
MGH36_P7_F11	-0.033503711325	red	1	0.35163	2.3214
MGH36_P7_F12	1.25943705937	red	1	0.10434	0.25338
MGH36_P7_G01	0.462219292756	red	1	0.20038	1.4818
MGH36_P7_G02	-1.790028015	red	1	4.1501	0.24245
MGH36_P7_G03	-1.54118064462	red	1	0.25822	4.9148
MGH36_P7_G04	-2.07134809676	red	1	0.42653	6.2429
MGH36_P7_G05	-0.876270933607	red	1	3.6458	1.0072
MGH36_P7_G06	0.12973763932	red	1	1.2696	1.6098
MGH36_P7_G08	NA	black	0	0.24732	0
MGH36_P7_G09	-1.77494426622	red	1	4.071	0.18903
