Cell_name	Zvalue	Color	Cluster	CCL5	IRF1
MGH36_P4_G05	0.276726412158	green3	2	3.4364	1.6572
MGH36_P4_G06	0.0128540215748	green3	2	2.3314	1.1865
MGH36_P4_G08	-0.297457531142	green3	2	3.3657	1.2678
MGH36_P4_G09	-0.0864762403404	green3	2	3.3626	1.4044
MGH36_P4_G10	1.02287323319	black	0	3.1202	2.8722
MGH36_P4_G11	0.102007719078	green3	2	2.2485	0.56169
MGH36_P4_H01	-0.627533483819	red	1	3.3288	1.0426
MGH36_P4_H02	-0.374994080363	green3	2	3.1825	1.1283
MGH36_P4_H03	-0.214907238749	green3	2	3.2888	1.2934
MGH36_P4_H04	0.0894843733199	green3	2	2.2243	0.92296
MGH36_P4_H05	0.847983189105	blue	3	3.0339	3.4042
MGH36_P4_H09	-0.135704777839	green3	2	2.6371	0.97233
MGH36_P4_H12	0.262261173182	green3	2	2.9592	1.7459
MGH36_P6_A02	0.969468290706	blue	3	1.5709	0.30918
MGH36_P6_A04	0.0669423442301	green3	2	2.2373	1.005
MGH36_P6_A05	-1.1899627587	black	0	3.9414	1.103
MGH36_P6_A07	-0.295664886574	green3	2	2.8217	4.1042
MGH36_P6_A08	-0.0604766872553	green3	2	2.8795	1.2833
MGH36_P6_A09	-0.214763336044	green3	2	2.6302	0.80818
MGH36_P6_A10	0.359722980236	green3	2	1.9233	0.68077
MGH36_P6_A11	0.0988493520439	green3	2	2.251	0.69153
MGH36_P6_B03	-0.204732112272	green3	2	3.2487	1.2857
MGH36_P6_B04	-0.301120603749	green3	2	2.5361	0.45312
MGH36_P6_B05	0.568705587888	green3	2	1.7416	0.5724
MGH36_P6_B06	0.0537388865493	green3	2	2.3019	0.70576
MGH36_P6_B10	0.00283051611575	green3	2	2.4109	1.0868
MGH36_P6_B11	0.301424387895	green3	2	1.8643	0.81558
MGH36_P6_B12	0.330701993193	green3	2	1.7198	0.83996
MGH36_P6_C02	1.18786103527	black	0	3.1662	3.04
MGH36_P6_C03	-0.600516659303	red	1	3.0829	0.88596
MGH36_P6_C04	0.0462821166786	green3	2	2.1763	1.1184
MGH36_P6_C05	-0.667967941194	red	1	2.5931	3.4344
MGH36_P6_C06	0.619514189815	blue	3	1.7702	0.4782
MGH36_P6_C07	-0.517268460979	green3	2	2.6334	0.36177
MGH36_P6_C08	0.159122213939	green3	2	2.0496	0.92828
MGH36_P6_C09	-1.15816983086	black	0	3.3496	0.74846
MGH36_P6_C11	-0.0307303932301	green3	2	2.4484	0.9313
MGH36_P6_C12	0.0949037189311	green3	2	2.2519	0.7536
MGH36_P6_D01	-0.009365638913	green3	2	2.3791	0.75275
MGH36_P6_D02	-0.00262694606812	green3	2	2.4273	1.0827
MGH36_P6_D03	-0.149476392307	green3	2	1.6835	1.2528
MGH36_P6_D04	-0.0261822459334	green3	2	2.5717	1.1916
MGH36_P6_D05	-0.254021519023	green3	2	2.7281	0.88675
MGH36_P6_D06	0.0892690124434	green3	2	2.1519	1.0165
MGH36_P6_D07	0.39289870989	green3	2	1.7987	0.73898
MGH36_P6_D08	-0.543285261459	green3	2	2.9644	0.82456
MGH36_P6_D10	-0.0214467720184	green3	2	2.0079	1.2277
MGH36_P6_D11	-0.00243526313642	green3	2	2.3926	0.88596
MGH36_P6_E02	-0.0859754495195	green3	2	2.3771	1.6631
MGH36_P6_E03	-0.105457152666	green3	2	2.6399	1.0412
MGH36_P6_E04	0.875641549562	blue	3	1.1693	0.58304
MGH36_P6_E05	-0.0189418676114	green3	2	2.4803	1.0963
MGH36_P6_E06	-0.0878745971758	green3	2	2.9305	1.2684
MGH36_P6_E07	0.444159190225	green3	2	1.8852	0.58785
MGH36_P6_E08	-0.698123455269	red	1	3.364	1.0215
MGH36_P6_E09	0.409000243361	green3	2	1.8999	0.62667
MGH36_P6_E10	-0.0109805193326	green3	2	2.5165	1.2116
MGH36_P6_E11	0.0573196579965	green3	2	2.9882	1.4573
MGH36_P6_E12	-0.107013354505	green3	2	2.2594	1.5291
MGH36_P6_F01	0.754121610362	blue	3	1.7307	0.35276
MGH36_P6_F04	-0.225795010698	green3	2	2.7645	0.97012
MGH36_P6_F06	0.0703737136041	green3	2	2.283	0.75617
MGH36_P6_F07	0.290650148993	green3	2	1.8616	0.83107
MGH36_P6_F08	-0.119580215337	green3	2	2.4399	0.5656
MGH36_P6_F10	-0.383768940234	green3	2	2.7763	0.77568
MGH36_P6_F12	0.385452950439	green3	2	1.8922	0.67356
MGH36_P6_G01	0.444587835048	green3	2	1.9373	0.49876
MGH36_P6_G02	0.107069710345	green3	2	2.6572	1.9305
MGH36_P6_G03	-0.0536040258784	green3	2	2.5712	1.0929
MGH36_P6_G04	0.122437818405	green3	2	1.9092	1.0314
MGH36_P6_G05	0.165899553777	green3	2	2.1286	0.8213
MGH36_P6_G06	0.0354346128051	green3	2	2.3311	0.92828
MGH36_P6_G07	-0.253098943138	green3	2	2.892	1.051
MGH36_P6_G08	-0.0298138698202	green3	2	2.8162	1.3063
MGH36_P6_G09	0.0927194456037	green3	2	2.2354	0.87263
MGH36_P6_G10	-0.071858144172	green3	2	2.5003	0.8984
MGH36_P6_G11	-1.48150908503	black	0	2.0395	2.6434
MGH36_P6_G12	0.169747747369	green3	2	2.1444	0.77315
MGH36_P6_H06	-0.0586031180586	green3	2	2.5529	1.0496
MGH36_P6_H07	0.100711032955	green3	2	1.6131	1.0447
MGH36_P6_H10	0.141869977134	green3	2	2.1782	0.79577
MGH36_P6_H12	0.154354785818	green3	2	1.6355	1.0043
MGH36_P7_A01	0.0489901092089	green3	2	2.3095	0.75189
MGH36_P7_A02	-0.759408330631	red	1	3.0218	0.7031
MGH36_P7_A03	-0.00660544798932	green3	2	2.5021	1.2284
MGH36_P7_A04	NA	black	0	3.3974	0
MGH36_P7_A06	0.0523843356427	green3	2	2.2216	1.0793
MGH36_P7_A07	0.220005434187	green3	2	3.3258	1.6168
MGH36_P7_A08	-0.0538730786167	green3	2	2.6496	1.1731
MGH36_P7_A09	-0.348581787559	green3	2	2.9627	1.0058
MGH36_P7_A10	-0.00369793967483	green3	2	2.757	1.3369
MGH36_P7_A11	-0.191659641486	green3	2	2.8598	1.1003
MGH36_P7_A12	-2.40348070925	black	0	2.0973	3.3651
MGH36_P7_B01	-0.0335208645196	green3	2	2.6385	1.2191
MGH36_P7_B02	-0.721870977771	red	1	2.9553	0.65901
MGH36_P7_B03	-0.13378157201	green3	2	2.595	0.91303
MGH36_P7_B04	-0.0122527964773	green3	2	2.4106	0.89995
MGH36_P7_B06	-0.57476461985	red	1	2.861	0.67717
MGH36_P7_B07	-0.0868538782781	green3	2	2.7497	1.177
MGH36_P7_B08	-0.849346614688	red	1	3.1332	0.74846
MGH36_P7_B09	0.208006965785	green3	2	3.513	1.6164
MGH36_P7_B10	-0.118617049236	green3	2	2.9913	1.2588
MGH36_P7_B11	0.107929805025	green3	2	1.7929	1.051
MGH36_P7_B12	-0.84352630002	red	1	3.3054	0.8953
MGH36_P7_C11	-0.0592809802058	green3	2	2.313	0.18142
MGH36_P7_D01	-0.0887151624969	green3	2	1.1865	1.0807
MGH36_P7_D02	-0.0383761050901	green3	2	3.1387	1.3846
MGH36_P7_D03	0.157870109218	green3	2	2.8518	1.6378
MGH36_P7_D05	0.149017856473	green3	2	2.1998	0.63877
MGH36_P7_D06	-0.0371712794653	green3	2	2.5663	1.144
MGH36_P7_D07	0.167542617514	green3	2	1.8875	0.9782
MGH36_P7_D08	-0.00816444124157	green3	2	2.6142	1.2863
MGH36_P7_D09	0.457875488147	green3	2	1.9096	0.52607
MGH36_P7_D10	0.372725342656	green3	2	1.9407	0.63506
MGH36_P7_D11	-0.0496649299817	green3	2	3.449	1.4489
MGH36_P7_E01	-0.135408550847	green3	2	3.5163	1.4147
MGH36_P7_E03	0.0472178275708	green3	2	4.008	1.6079
MGH36_P7_E04	0.139484014086	green3	2	2.1535	0.86315
MGH36_P7_E05	-0.71115591651	red	1	2.8115	0.47301
MGH36_P7_E07	0.458971677951	green3	2	1.9294	0.48543
MGH36_P7_E08	-0.661671834963	red	1	2.7519	0.42438
MGH36_P7_E10	-0.348074463535	green3	2	2.5811	0.4844
MGH36_P7_E12	0.548408496226	green3	2	1.7106	0.62012
MGH36_P7_F01	0.0768344579589	green3	2	2.2756	0.72509
MGH36_P7_F02	-0.936771558757	red	1	2.4041	3.0472
MGH36_P7_F03	-0.244544031907	green3	2	2.6311	0.75702
MGH36_P7_F04	0.209001401357	green3	2	2.9939	1.6498
MGH36_P7_F06	0.11082558461	green3	2	2.1998	0.87971
MGH36_P7_F08	0.0171625869406	green3	2	2.2045	1.1916
MGH36_P7_F09	0.764612347861	blue	3	3.1938	2.1963
MGH36_P7_F10	-0.0271344341997	green3	2	2.3369	0.42438
MGH36_P7_F11	0.0392879092111	green3	2	2.2366	1.1164
MGH36_P7_F12	0.0834693096428	green3	2	2.2305	0.93885
MGH36_P7_G01	0.216816612002	green3	2	1.937	0.8953
MGH36_P7_G02	0.448215766655	green3	2	1.7566	0.70044
MGH36_P7_G03	-0.285082938283	green3	2	2.7051	0.80983
MGH36_P7_G04	0.153255026736	green3	2	3.1465	1.5622
MGH36_P7_G05	0.245777962015	green3	2	1.6969	0.92448
MGH36_P7_G06	1.09711381247	black	0	1.5499	0.20539
MGH36_P7_G08	-0.260070307857	green3	2	2.4805	0.37295
MGH36_P7_G09	-0.148618341304	green3	2	2.6595	0.976
MGH36_P7_G10	-0.292750989115	green3	2	2.6218	0.65901
MGH36_P7_G11	0.0259127138475	green3	2	2.3426	0.81065
MGH36_P7_H01	-0.0907995087543	green3	2	2.8703	1.2382
MGH36_P7_H02	-0.132575603994	green3	2	2.4444	0.54498
MGH36_P7_H03	-0.00419962499357	green3	2	2.4412	1.1223
MGH36_P7_H04	-0.558824503671	red	1	2.7457	0.52507
MGH36_P7_H07	-0.0846972691168	green3	2	2.5099	0.87814
MGH36_P7_H08	-0.297558746072	green3	2	3.028	1.101
MGH36_P7_H10	-4.31512447328	black	0	2.0919	4.3475
MGH36_P7_H11	0.247697727735	green3	2	2.1359	0.30918
MGH36_P7_H12	-0.588896722799	red	1	2.9052	0.71809
MGH36_P5_A02	0.0988834262224	green3	2	3.0813	1.5079
MGH36_P5_A03	0.144118888005	green3	2	2.2104	0.42546
