Cell_name	Zvalue	Color	Cluster	L1TD1	NANOG
MGH36_P7_H02	0.717511068826	blue	3	0.34823	0.26664
MGH36_P7_H03	-0.0857185095937	green3	2	0.89763	0.19409
MGH36_P7_H04	0.503242282148	blue	3	0.54893	0.20163
MGH36_P7_H07	0.918755207442	black	0	0.39726	0.018634
MGH36_P7_H08	-0.16559640718	green3	2	0.48027	1.0065
MGH36_P7_H10	-1.19861433439	black	0	0.84639	3.608
MGH36_P7_H11	0.76954067378	blue	3	0.30451	0.26664
MGH36_P7_H12	NA	black	0	0.67717	0
MGH36_P5_A02	NA	black	0	1.0718	0
MGH36_P5_A03	-0.303201597644	green3	2	1.2582	0.66266
MGH36_P5_A05	0.309400869634	green3	2	1.2271	1.3528
MGH36_P5_A06	NA	black	0	0.69688	0
MGH36_P5_A07	0.0371626659464	green3	2	0.75189	0.77737
MGH36_P5_A08	-0.828228602067	red	1	1.2756	0.20664
MGH36_P5_A09	NA	black	0	1.0663	0
MGH36_P5_B02	-0.183820235885	green3	2	1.0594	0.56071
MGH36_P5_B03	0.647256136613	blue	3	0.32884	0.34028
MGH36_P5_B04	0.0288629025434	green3	2	0.93508	1.4217
MGH36_P5_B05	0.250115543905	green3	2	1.0807	1.5558
MGH36_P5_B06	-0.190552279916	green3	2	1.0628	0.55483
MGH36_P5_B07	-0.172646176538	green3	2	1.2382	0.78073
MGH36_P5_B08	NA	black	0	1.5099	0
MGH36_P5_B09	0.0794469443845	green3	2	0.77484	0.56365
MGH36_P5_B10	0.181576780971	green3	2	0.75104	0.16092
MGH36_P5_B11	0.0165129873913	green3	2	0.64708	0.8472
MGH36_P5_C01	0.148022849583	green3	2	1.2066	1.1557
MGH36_P5_C02	0.0478436836243	green3	2	0.75788	0.73552
MGH36_P5_C03	0.183241957601	green3	2	0.74502	0.21288
MGH36_P5_C04	0.234231102023	green3	2	0.70399	0.27023
MGH36_P5_C05	0.0568643331816	green3	2	0.73985	0.72683
MGH36_P5_C06	0.0805356199426	green3	2	0.76214	0.60217
MGH36_P5_C09	0.0479366291154	green3	2	0.78994	0.67536
MGH36_P5_C11	-0.47824707318	green3	2	1.1257	0.25822
MGH36_P5_C12	NA	black	0	1.8111	0
MGH36_P5_D01	NA	black	0	1.0101	0
MGH36_P5_D02	-0.208802389719	green3	2	1.2234	0.73031
MGH36_P5_D03	-5.22273538959	black	0	0.50182	4.5103
MGH36_P5_D04	0.426705060852	blue	3	0.56267	0.2857
MGH36_P5_D06	0.0296805992727	green3	2	0.75958	0.7966
MGH36_P5_D07	-0.0388514369438	green3	2	0.99277	0.7941
MGH36_P5_D08	0.17011585075	green3	2	0.67265	0.53506
MGH36_P5_D09	0.490827058585	blue	3	0.52105	0.27381
MGH36_P5_D11	0.0234415096754	green3	2	0.83835	0.6397
MGH36_P5_D12	-0.0239544487321	green3	2	0.71809	0.94186
MGH36_P5_E01	0.0900475307589	green3	2	1.005	1.291
MGH36_P5_E02	-0.0839468905085	green3	2	0.98987	0.64616
MGH36_P5_E03	-0.082231594551	green3	2	0.90766	0.29278
MGH36_P5_E05	-0.145895737686	green3	2	1.1164	0.71105
MGH36_P5_E07	3.02013384231	black	0	1.3829	5.4277
MGH36_P5_E08	0.00962505940112	green3	2	0.9782	0.97159
MGH36_P5_E09	NA	black	0	1.216	0
MGH36_P5_E10	0.0646698733969	green3	2	0.76299	0.66448
MGH36_P5_E11	0.0217664363233	green3	2	0.79577	0.79826
MGH36_P5_F02	-0.00059303035381	green3	2	0.86156	0.40054
MGH36_P5_F04	0.00425088044368	green3	2	0.95531	0.9501
MGH36_P5_F05	0.209825680078	green3	2	0.69955	0.36513
MGH36_P5_F06	-0.0133752538275	green3	2	1.1349	0.93282
MGH36_P5_F07	0.00527700626595	green3	2	0.86394	0.78241
MGH36_P5_F08	0.0875938363382	green3	2	0.74846	0.6107
MGH36_P5_F09	4.88432143048	black	0	1.5494	5.4933
MGH36_P5_F10	24.6703663359	black	0	5.3186	3.9487
MGH36_P5_F11	0.335259061231	green3	2	0.26303	0.59455
MGH36_P5_G01	NA	black	0	0.40054	0
MGH36_P5_G02	NA	black	0	0	0
MGH36_P5_G04	-0.0576567703332	green3	2	1.1878	0.88753
MGH36_P5_G06	-0.204597284137	green3	2	1.0489	0.49876
MGH36_P5_G07	-0.695219407127	red	1	1.2928	0.34823
MGH36_P5_G08	1.94226574153	black	0	1.3741	2.9975
MGH36_P5_G09	0.446649564935	blue	3	0.60975	0.12697
MGH36_P5_G10	-0.126068303303	green3	2	1.0115	0.58207
MGH36_P5_G11	-0.759348332139	red	1	1.4076	0.44784
MGH36_P5_H02	0.022387608987	green3	2	0.72683	0.83107
MGH36_P5_H03	0.311515310992	green3	2	0.43723	0.55582
MGH36_P5_H05	-0.094088702093	green3	2	1.2234	0.85917
MGH36_P5_H06	0.496435996959	blue	3	0.44467	0.36961
MGH36_P5_H07	-0.00112612161369	green3	2	0.96125	0.91991
MGH36_P5_H09	0.164439881727	green3	2	1.1532	1.2154
MGH36_P10_A02	NA	black	0	0	0
MGH36_P10_A04	0.206226900899	green3	2	0.53903	0.61259
MGH36_P10_A05	-0.124905446432	green3	2	0.77484	1.2744
MGH36_P10_A06	-0.739746927987	red	1	1.9396	0.809
MGH36_P10_A07	0.276019526526	green3	2	1.2684	1.2756
MGH36_P10_A09	NA	black	0	0	0
MGH36_P10_A11	NA	black	0	1.0475	0
MGH36_P10_A12	NA	black	0	0.92828	0
MGH36_P10_B01	NA	black	0	0.73031	0
MGH36_P10_B03	-0.395457936121	green3	2	1.1157	0.34483
MGH36_P10_B05	0.0849560176799	green3	2	0.60881	0.74416
MGH36_P10_B07	0.186367327069	green3	2	0.60122	0.59455
MGH36_P10_B08	NA	black	0	0.62761	0
MGH36_P10_B10	NA	black	0	0.33914	0
MGH36_P10_B11	0.0683319885619	green3	2	0.49978	0.77989
MGH36_P10_C01	0.343333014546	green3	2	0.62387	0.2857
MGH36_P10_C03	NA	black	0	0.35276	0
MGH36_P10_C04	NA	black	0	0	0
MGH36_P10_C06	0.441370604309	blue	3	0.49365	0.37407
