Cell_name	Zvalue	Color	Cluster	HIF1A	LEP
93_P9_G02	NA	black	0	5.5214	0
93_P9_A04	NA	black	0	3.5322	0
93_P10_C04	NA	black	0	3.9936	0
93_P10_H11	NA	black	0	4.4797	0
93_P9_D10	NA	black	0	0	0
93_P8_E12	NA	black	0	0	0
93_P9_D07	NA	black	0	1.7651	0
93_P10_G05	NA	black	0	5.5847	0
93_P10_F06	NA	black	0	4.5765	0
93_P10_C07	NA	black	0	0	0.28333
93_P9_D08	NA	black	0	3.9498	0
93_P10_G06	NA	black	0	2.2672	0
93_P10_G09	NA	black	0	0	0
93_P8_F02	NA	black	0	5.7613	0
93_P8_G08	NA	black	0	0	0
93_P10_H02	NA	black	0	4.3309	0
93_P10_H03	NA	black	0	0	0
93_P8_E01	NA	black	0	4.9748	0
93_P9_H11	NA	black	0	1.346	0
93_P9_H03	NA	black	0	1.9638	0
93_P9_C02	NA	black	0	0	0
93_P8_F06	NA	black	0	6.1635	0
93_P9_G07	NA	black	0	0	0.19535
93_P10_E08	NA	black	0	4.9429	0
93_P10_D02	NA	black	0	4.608	0
93_P10_A09	NA	black	0	4.705	0
93_P10_G07	NA	black	0	0	0
93_P8_E11	NA	black	0	0	0.75958
93_P10_C12	NA	black	0	0.35163	0
93_P9_B12	NA	black	0	4.8562	0
93_P8_H03	NA	black	0	4.0336	0
93_P9_G12	NA	black	0	3.8961	0
93_P10_B06	NA	black	0	1.5271	0
93_P8_D02	NA	black	0	5.9646	0
93_P9_A10	NA	black	0	0.51904	0
93_P9_G01	NA	black	0	3.2262	0
93_P9_H12	NA	black	0	6.2429	0
93_P10_F12	NA	black	0	0.26063	0
93_P10_G03	0.0447361990456	green3	2	4.0494	0.21537
93_P9_F08	NA	black	0	0	0
93_P10_C06	NA	black	0	0	0
93_P10_D04	NA	black	0	4.0726	0
93_P9_C11	NA	black	0	3.8289	0
93_P9_A01	NA	black	0	0	0
93_P9_B05	NA	black	0	1.2029	0
93_P9_A06	NA	black	0	3.1575	0
93_P10_A10	NA	black	0	0.48233	0
93_P10_F07	0.0877747065836	green3	2	4.6541	0.50691
93_P9_B04	NA	black	0	5.8554	0
93_P10_H04	NA	black	0	3.9368	0
93_P10_B11	NA	black	0	5.3202	0
93_P9_D01	NA	black	0	0	0.15316
93_P8_A11	3.32385298424	black	0	5.8703	1.8323
93_P9_F11	NA	black	0	0	0
93_P8_G09	NA	black	0	5.6172	0
93_P10_G01	NA	black	0	6.8299	0
93_P8_D07	NA	black	0	3.8377	0
93_P8_G01	NA	black	0	0	0
93_P9_H04	NA	black	0	6.0717	0
93_P10_B10	0.243247136923	green3	2	3.3561	0.15186
93_P9_G04	NA	black	0	4.4958	0
93_P8_D01	NA	black	0	0	0
93_P8_F03	NA	black	0	1.2582	0
93_P10_D03	NA	black	0	0	0
93_P10_H06	NA	black	0	4.4176	0
93_P8_B12	NA	black	0	2.8486	0
93_P8_D09	NA	black	0	4.4621	0
93_P9_D11	NA	black	0	3.5045	0
93_P10_G08	NA	black	0	1.8707	0
93_P8_H06	NA	black	0	0	0
93_P9_C07	NA	black	0	0	0
93_P8_A12	NA	black	0	0	0
93_P8_C01	NA	black	0	5.5593	0
93_P9_F06	NA	black	0	0.40381	0
