Cell_name	Zvalue	Color	Cluster	ATM	CFLAR
MGH60_P4_F04	-0.269162348902	green3	2	1.751	2.5165
MGH60_P4_F05	2.32103682221	black	0	3.0519	4.2088
MGH60_P4_F06	-0.208885736116	green3	2	0.38073	3.2522
MGH60_P4_F07	-0.190599149465	green3	2	0.35389	3.2024
MGH60_P4_F08	-0.107552963544	green3	2	1.9767	2.7841
MGH60_P4_F09	-1.25739066921	red	1	0.14926	4.4879
MGH60_P4_F10	0.20123695347	green3	2	0.75958	1.5246
MGH60_P4_F11	1.55999678608	black	0	4.6825	3.4534
MGH60_P4_F12	NA	black	0	0	6.317
MGH60_P4_G01	0.792081150867	green3	2	0.084064	1.8057
MGH60_P4_G02	-1.53408773055	black	0	2.9441	2.0683
MGH60_P4_G03	-0.495788429296	green3	2	1.7904	2.2366
MGH60_P4_G04	0.00948943167264	green3	2	1.7937	2.9113
MGH60_P4_G05	-0.0795434178853	green3	2	1.8821	2.8034
MGH60_P4_G06	-0.125833539433	green3	2	0.20038	3.0374
MGH60_P4_G07	-0.271622388693	green3	2	0.64524	3.7464
MGH60_P4_G08	-0.44336971285	green3	2	2.922	2.6756
MGH60_P4_G09	0.115464689803	green3	2	0.31962	2.6549
MGH60_P4_G10	-2.95455334904	black	0	0.15186	6.4707
MGH60_P4_G11	0.0779207357647	green3	2	0.69421	2.5346
MGH60_P4_G12	0.0403771890909	green3	2	1.3294	3.012
MGH60_P4_H01	0.303273574223	green3	2	0.13881	2.4343
MGH60_P4_H03	7.10787447748	black	0	3.246	6.6272
MGH60_P4_H04	NA	black	0	0	2.6269
MGH60_P4_H06	0.018089071273	green3	2	1.1322	3.0058
MGH60_P4_H07	NA	black	0	0	2.5722
MGH60_P4_H08	0.469976408328	green3	2	0.13356	2.2032
MGH60_P4_H09	-0.523682537603	green3	2	0.26664	3.6696
MGH60_P4_H10	0.236416220335	green3	2	0.10969	2.538
MGH60_P4_H11	-0.43924900941	green3	2	0.32998	3.6077
MGH60_P4_H12	-0.0962248604043	green3	2	0.44042	3.064
MGH60_P5_A01	0.000668156266852	green3	2	0.95754	2.7126
MGH60_P5_A02	0.121198896154	green3	2	0.70044	2.3242
MGH60_P5_A03	-0.226688068233	green3	2	0.089498	3.1388
MGH60_P5_A04	-1.3878864033	red	1	0.4049	5.3255
MGH60_P5_A05	-1.23786577159	red	1	0.48027	5.3546
MGH60_P5_A06	NA	black	0	0	3.4544
MGH60_P5_A07	-0.584330242784	green3	2	0.073135	3.5691
MGH60_P5_A08	0.135872564387	green3	2	0.50691	2.5231
MGH60_P5_A09	0.444261630784	green3	2	0.052416	2.2937
MGH60_P5_A10	0.365637172403	green3	2	0.05797	2.3909
MGH60_P5_A11	-1.13608659829	red	1	3.5354	2.4518
MGH60_P5_A12	-0.0179548493835	green3	2	0.15963	2.8779
MGH60_P5_B01	0.166361612794	green3	2	0.34028	2.5551
MGH60_P5_B02	-0.234579572135	green3	2	1.8428	2.6015
MGH60_P5_B03	NA	black	0	0	2.3545
MGH60_P5_B04	0.452240293983	green3	2	0.46362	1.7837
MGH60_P5_B05	-0.712506077559	green3	2	0.55876	4.6112
MGH60_P5_B06	0.203212233946	green3	2	0.66266	2.0524
MGH60_P5_B07	0.0272726857647	green3	2	1.4103	2.9572
MGH60_P5_B08	NA	black	0	0	3.8386
MGH60_P5_B09	-0.108871226997	green3	2	1.8785	2.767
MGH60_P5_B10	-0.339824615927	green3	2	1.91	2.5013
MGH60_P5_B12	0.138501377478	green3	2	0.08134	2.6738
MGH60_P5_C01	-0.269958681809	green3	2	0.16221	3.2253
MGH60_P5_C02	2.40621565933	black	0	2.6749	4.5534
MGH60_P5_C03	0.518814444776	green3	2	0.070389	2.1852
MGH60_P5_C04	0.0366228949573	green3	2	1.3225	3.0022
MGH60_P5_C05	-2.83347277872	black	0	3.0824	1.4568
MGH60_P5_C06	-0.539200704341	green3	2	0.41251	3.8976
MGH60_P5_C07	-0.844301478699	green3	2	2.4324	2.2762
MGH60_P5_C08	-0.198876084976	green3	2	0.72159	3.6989
MGH60_P5_C09	-0.67165214071	green3	2	3.3095	2.6192
MGH60_P5_C10	-0.627321857977	green3	2	2.7759	2.538
MGH60_P5_C11	3.83042424943	black	0	3.1722	4.9452
MGH60_P5_C12	-2.77850630622	black	0	4.6772	2.1405
MGH60_P5_D01	0.0112703377105	green3	2	0.58785	2.8313
MGH60_P5_D02	0.0859189088852	green3	2	0.49365	2.6554
MGH60_P5_D03	-0.0386619420587	green3	2	2.2552	2.8775
MGH60_P5_D04	-0.475993633222	green3	2	3.5238	2.7375
MGH60_P5_D05	NA	black	0	0	2.9696
MGH60_P5_D06	-0.672926581594	green3	2	3.7523	2.6817
MGH60_P5_D07	-0.112739088143	green3	2	2.1167	2.7974
MGH60_P5_D08	-0.0473137392902	green3	2	1.8323	2.8381
MGH60_P5_D09	1.44366151263	green3	2	3.0398	3.7255
MGH60_P5_D10	0.0542288397169	green3	2	0.82049	2.4131
MGH60_P5_D11	-0.568259905729	green3	2	3.8461	2.7338
MGH60_P5_D12	-1.0556483088	green3	2	0.032806	4.0741
MGH60_P5_E01	0.080346470274	green3	2	1.7407	3.0142
MGH60_P5_E02	-0.0441695772015	green3	2	0.6397	3.0161
MGH60_P5_E03	NA	black	0	0	5.0836
