Cell_name	Zvalue	Color	Cluster	ACOX1	PPARA
MGH36_P1_C08	0.993499298359	red	1	4.1935	0.88596
MGH36_P1_C09	4.44691903597	black	0	3.657	2.8675
MGH36_P1_C10	3.54813643432	black	0	3.9552	2.0993
MGH36_P1_C11	-0.0656970900285	red	1	1.1506	0.58015
MGH36_P1_D01	-0.430635066799	red	1	2.6392	0.031395
MGH36_P1_D02	NA	black	0	3.1175	0
MGH36_P1_D03	-0.626799994071	red	1	3.1119	0.044044
MGH36_P1_D04	-0.216830069079	red	1	2.2126	0.073135
MGH36_P1_D06	NA	black	0	0	0.060739
MGH36_P1_D07	-0.267021214419	red	1	2.3216	0.063503
MGH36_P1_D08	-0.0111590492218	red	1	1.6017	0.59455
MGH36_P1_D09	NA	black	0	0.19535	0
MGH36_P1_D11	0.258553569238	red	1	1.069	0.018634
MGH36_P1_F01	-0.934640286444	red	1	0.029983	1.005
MGH36_P1_F02	-0.631481796744	red	1	0.72334	1.0949
MGH36_P1_F03	NA	black	0	2.7949	0
MGH36_P1_F04	0.36601029269	red	1	0.71809	0.064883
MGH36_P1_F05	0.139008843024	red	1	1.3374	0.028569
MGH36_P1_F06	-0.0890555963237	red	1	3.1175	0.41468
MGH36_P1_F08	NA	black	0	3.8617	0
MGH36_P1_F11	NA	black	0	0	1.9971
MGH36_P1_F12	-0.528082291306	red	1	2.8074	0.012926
MGH36_P1_G02	NA	black	0	0	0.25822
MGH36_P1_G03	0.181063744863	red	1	1.2504	0.015783
MGH36_P1_G04	-0.0373815352169	red	1	3.3868	0.45733
MGH36_P1_G07	NA	black	0	3.2909	0
MGH36_P1_G08	0.323701631118	red	1	0.76638	0.092207
MGH36_P1_G09	-0.0942278014817	red	1	0.045443	0.50386
MGH36_P1_H02	0.571457954401	red	1	0.33571	0.017209
MGH36_P1_H03	NA	black	0	0.45207	0
MGH36_P1_H04	-0.220825398052	red	1	4.1473	0.39726
MGH36_P1_H05	0.0598269007583	red	1	1.5205	0.034216
MGH36_P1_H06	0.676155339359	red	1	0.03984	0.028569
MGH36_P1_H07	0.527143123293	red	1	2.0559	2.2437
MGH36_P1_H09	-1.24785432428	red	1	0.085425	1.2141
MGH36_P1_H10	NA	black	0	1.7545	0
MGH36_P3_A01	2.7612760517	black	0	3.6508	1.9336
MGH36_P3_A02	NA	black	0	1.7502	0
MGH36_P3_A03	0.0326047753416	red	1	1.5059	0.26303
MGH36_P3_A04	0.175562981179	red	1	1.8883	1.5661
MGH36_P3_A05	0.307325637229	red	1	0.87814	0.062122
MGH36_P3_A08	-1.40019959872	red	1	0.43403	1.5341
MGH36_P3_A09	-0.0746229102601	red	1	1.9038	0.15056
MGH36_P3_A10	0.217804836382	red	1	2.3068	0.82538
MGH36_P3_A12	6.16706458688	black	0	4.7024	2.6062
MGH36_P3_B02	1.08175929148	red	1	2.6715	1.6243
MGH36_P3_B03	-0.673147030644	red	1	3.3919	0.089498
MGH36_P3_B04	-0.0598236259046	red	1	3.1486	0.43616
MGH36_P3_B09	0.283688644785	red	1	0.7433	0.14535
MGH36_P3_B10	-0.0161441155046	red	1	1.5028	0.54992
MGH36_P3_B11	-0.775070166204	red	1	3.8172	0.123
MGH36_P3_B12	-0.360224296117	red	1	2.5809	0.07861
MGH36_P3_C01	0.488890536396	red	1	0.10299	0.13356
MGH36_P3_C03	-0.0714088667427	red	1	1.937	0.19912
MGH36_P3_C04	NA	black	0	0	0.042644
MGH36_P3_C05	-4.38121620569	black	0	0.21785	3.2248
MGH36_P3_C06	NA	black	0	1.543	0
MGH36_P3_C08	0.436712479669	green3	2	0.20163	0.14926
MGH36_P3_C11	0.45062481658	green3	2	0.19283	0.14143
MGH36_P3_C12	0.516034809042	red	1	0.08134	0.12035
MGH36_P3_D01	0.379098942775	red	1	0.15445	0.19661
MGH36_P3_D02	NA	black	0	0.35276	0
MGH36_P3_D03	-0.249762387768	red	1	3.0548	0.29514
MGH36_P3_D04	0.0556897168107	red	1	1.8127	2.9572
MGH36_P3_D07	0.440198208382	green3	2	0.34596	0.11503
MGH36_P3_D08	0.562973325979	red	1	0.13356	0.07861
MGH36_P3_D09	0.262541340697	red	1	0.15704	0.27381
MGH36_P3_D11	0.448301179593	green3	2	0.52005	0.05797
