Cell_name	Zvalue	Color	Cluster	CREB1	FLT1
MGH53_P11_H03	NA	black	0	0	0
MGH53_P10_D11	NA	black	0	0	0
MGH53_P1_A10	NA	black	0	0	0
MGH53_P4_B12	NA	black	0	0	0.44255
MGH53_P5_H09	NA	black	0	0	0
MGH53_P9_D07	NA	black	0	2.4257	0
MGH53_P11_E03	NA	black	0	3.7462	0
MGH53_P1_C02	NA	black	0	0.17632	0
MGH53_P10_F11	NA	black	0	3.0291	0
MGH53_P1_E02	NA	black	0	0.30451	0
MGH53_P1_D07	NA	black	0	2.2497	0
MGH53_P6_B01	NA	black	0	3.1522	0
MGH53_P2_G04	-0.479252956304	red	1	0.11237	0.66266
MGH53_P1_C05	NA	black	0	0.24367	0
MGH53_P2_G09	-0.0116521206463	red	1	2.9243	0.43936
MGH53_P5_A05	NA	black	0	0.18523	0
MGH53_P5_F04	NA	black	0	0	0
MGH53_P10_H03	0.484101981795	red	1	0.08134	0.14796
MGH53_P11_F08	NA	black	0	0	0.26303
MGH54_P7_F12	-0.0460305440638	red	1	0.069015	0.43296
MGH53_P8_F03	NA	black	0	1.8516	0
MGH53_P11_A07	NA	black	0	1.2339	0
MGH53_P6_B11	NA	black	0	0	0.61824
MGH53_P4_C07	NA	black	0	3.8428	0
MGH53_P6_H06	NA	black	0	0	0.26063
MGH36_P1_A01	NA	black	0	0.74846	0
MGH36_P1_A02	NA	black	0	0.049631	0
MGH36_P1_A03	-0.785585713173	red	1	2.1683	0.071763
MGH36_P1_A04	-0.628605665345	red	1	2.4284	0.19912
MGH36_P1_A05	0.532525160958	red	1	0.074505	0.123
MGH36_P1_A06	NA	black	0	0	0
MGH36_P1_A08	NA	black	0	0	0
MGH36_P1_A10	NA	black	0	0	0
MGH36_P1_A12	NA	black	0	1.8131	0
MGH36_P1_B02	NA	black	0	0	0
MGH36_P1_B03	NA	black	0	0	0.077243
MGH36_P1_B04	0.628390125201	red	1	0.12035	0.052416
MGH36_P1_B06	-0.402244097204	red	1	1.8572	0.17121
MGH36_P1_B07	NA	black	0	0	0.085425
MGH36_P1_B08	NA	black	0	0.015783	0
MGH36_P1_B09	-0.207145353587	red	1	1.9233	0.30568
MGH36_P1_B10	0.650282592906	red	1	0.041243	0.069015
