Cell_name	Zvalue	Color	Cluster	PPARD	SOD1
MGH54_P2_F02	0.0448885071121	red	1	1.4782	7.1454
MGH36_P2_E11	NA	black	0	1.9343	0
MGH54_P2_D11	NA	black	0	0.22651	0
MGH54_P2_G01	NA	black	0	0.35952	0
MGH36_P9_D02	NA	black	0	3.2651	0
MGH54_P2_E06	0.145821058886	red	1	1.319	3.3366
MGH54_P16_F12	-0.614349596502	red	1	0.69688	7.3776
MGH53_P5_C12	NA	black	0	0	5.8909
MGH54_P12_C10	NA	black	0	0	5.601
MGH54_P16_F02	NA	black	0	0	4.3224
MGH54_P11_C11	NA	black	0	0	7.6036
MGH53_P1_E03	NA	black	0	0	7.2075
MGH54_P15_D06	NA	black	0	0	7.6898
MGH54_P14_F05	-0.285961320522	red	1	0.86394	6.7456
MGH54_P16_A03	-0.148746334871	red	1	1.275	7.7694
MGH53_P4_G11	-1.01986403424	red	1	0.37518	7.6147
MGH53_P7_B09	0.923819401545	red	1	0.27143	4.2942
MGH54_P17_D11	NA	black	0	0	7.9354
MGH54_P10_G04	NA	black	0	0	6.645
MGH54_P10_C06	0.507606612769	red	1	0.36177	4.8947
MGH53_P2_A02	-0.339768941728	red	1	0.4782	6.4582
MGH53_P4_F06	-0.478588963587	red	1	0.92752	7.614
MGH53_P7_F07	-0.647711566644	red	1	0.2857	6.8526
MGH53_P11_F06	0.0977162074668	red	1	1.547	7.1798
MGH53_P5_G02	NA	black	0	0	6.2603
MGH53_P1_F09	NA	black	0	0	5.452
MGH53_P11_H03	NA	black	0	0	2.9364
MGH53_P10_D11	-0.171358083587	red	1	0.32654	6.0775
MGH53_P1_A10	1.15979335377	green3	2	4.6179	6.4472
MGH53_P4_B12	NA	black	0	0	0
MGH53_P5_H09	-0.0420486804543	red	1	1.294	6.4071
MGH53_P9_D07	0.304600649962	red	1	1.7549	7.4555
MGH53_P11_E03	NA	black	0	0	7.619
MGH53_P1_C02	-0.929953397423	red	1	0.60692	7.9341
MGH53_P10_F11	NA	black	0	0	8.2923
MGH53_P1_E02	0.00737359226035	red	1	1.1184	5.7373
MGH53_P1_D07	NA	black	0	0	1.0165
MGH53_P6_B01	0.117766441728	red	1	0.51702	5.5422
MGH53_P2_G04	-0.495581257096	red	1	0.35163	6.6516
MGH53_P1_C05	-0.876029304078	red	1	2.7394	4.5327
MGH53_P2_G09	-0.730072406797	red	1	0.64893	7.5612
MGH53_P5_A05	NA	black	0	0	7.2456
MGH53_P5_F04	NA	black	0	0	6.7254
MGH53_P10_H03	-1.06891199736	red	1	0.19156	7.4146
MGH53_P11_F08	-0.135330294642	red	1	0.9782	6.3548
MGH54_P7_F12	NA	black	0	0	6.6091
MGH53_P8_F03	NA	black	0	6.053	0
MGH53_P11_A07	NA	black	0	0	7.018
MGH53_P6_B11	NA	black	0	0	6.153
MGH53_P4_C07	-1.68082844283	black	0	5.1965	4.9359
MGH53_P6_H06	-0.812349894824	red	1	0.37518	7.2404
MGH36_P1_A01	0.123076138937	red	1	0.60881	5.5024
MGH36_P1_A02	NA	black	0	0	6.9763
MGH36_P1_A03	-0.730511201426	red	1	0.41251	7.1418
MGH36_P1_A04	0.279113029067	red	1	0.11237	5.389
MGH36_P1_A05	-0.0808360032022	red	1	0.18015	5.9074
MGH36_P1_A06	1.14328820017	green3	2	0.20038	4.0481
MGH36_P1_A08	2.47082361651	black	0	4.2901	7.3764
MGH36_P1_A10	NA	black	0	0	5.113
MGH36_P1_A12	-0.236097253354	red	1	2.9212	5.4824
MGH36_P1_B02	1.18494385926	green3	2	0.33457	3.7649
MGH36_P1_B03	0.0725415166164	red	1	3.287	5.8475
MGH36_P1_B04	0.0114503506306	red	1	0.49057	5.7619
MGH36_P1_B06	-0.0687005898407	red	1	4.0303	5.7232
