Cell_name	Zvalue	Color	Cluster	CPT1A	PPARA
MGH54_P2_G03	NA	black	0	0.33685	0
MGH53_P2_F12	0.167813682511	green3	2	0.68257	0.13093
MGH36_P4_C09	0.118497188892	green3	2	0.67717	0.2302
MGH36_P5_C08	-0.0753778999669	green3	2	1.291	0.26303
MGH36_P4_H06	-0.00345332478253	green3	2	1.0559	0.3173
MGH36_P10_E01	0.193138982367	green3	2	0.66357	0.1003
MGH36_P8_E12	NA	black	0	0.58015	0
MGH53_P2_C10	-0.0917815659218	green3	2	0.67265	0.61164
MGH36_P4_H08	NA	black	0	2.2851	0
MGH36_P7_F07	-0.206802650062	green3	2	1.3646	0.051024
MGH54_P2_A09	0.287389427214	green3	2	0.27262	0.19156
MGH36_P6_H11	0.357796550424	green3	2	0.29396	0.12035
MGH53_P2_E12	0.0906248287795	green3	2	0.43403	0.34596
MGH53_P1_F08	-0.0431054995381	green3	2	1.1144	0.10969
MGH36_P6_D12	0.279701790254	green3	2	0.33457	0.1776
MGH36_P2_H09	-0.0840115212512	green3	2	1.3824	0.29983
MGH53_P1_C01	0.0809701134978	green3	2	0.77146	0.24853
MGH53_P2_F11	-1.23923554107	black	0	0.60881	2.1164
MGH36_P6_H04	-0.00458269807915	green3	2	1.0531	0.89375
MGH36_P5_G05	0.172710398783	green3	2	0.75446	0.032806
MGH53_P4_B04	NA	black	0	0.54597	0
MGH53_P1_E05	0.245300844677	green3	2	0.24245	0.23634
MGH36_P10_A08	NA	black	0	0.52907	0
MGH36_P9_G01	0.122043955	green3	2	0.75275	0.16221
MGH53_P4_A06	0.0801233791793	green3	2	0.85997	0.14535
MGH36_P6_B09	NA	black	0	1.1577	0
MGH54_P2_D09	0.0947117518648	green3	2	0.79161	0.19283
MGH53_P1_E06	-0.0350427116507	green3	2	1.1922	0.30685
MGH36_P4_A10	0.0459962596456	green3	2	0.91456	0.20038
MGH36_P6_B02	4.51814301437e-05	green3	2	1.0342	0.17505
MGH53_P4_G06	0.281577519463	green3	2	0.47716	0.10836
MGH36_P8_F01	NA	black	0	0	0.16221
MGH36_P9_F06	NA	black	0	0.30918	0
MGH36_P5_H04	0.0767539537073	green3	2	0.90535	0.042644
MGH53_P1_B03	0.250885966836	green3	2	0.60692	0.053806
MGH53_P2_D05	-0.123013575564	green3	2	1.4431	0.26183
MGH36_P4_G12	0.332865382292	green3	2	0.4844	0.03984
MGH53_P2_D11	-0.14103536376	green3	2	0.11237	0.54003
MGH53_P4_C02	0.121403773784	green3	2	0.6951	0.21288
